"","Movie_Name","Genre","X","PReview_ave","Year","Awards","awards"
"1","close encounters of the third kind","Drama",1,4.466666667,1977,"Won 1 Oscar. Another 13 wins & 37 nominations.","awards"
"2","close encounters of the third kind","Sci-Fi",1,4.466666667,1977,"Won 1 Oscar. Another 13 wins & 37 nominations.","awards"
"3","emmet otter's jug-band christmas","Comedy",2,4.52,1977,"Nominated for 4 Primetime Emmys. Another 1 win.","awards"
"4","emmet otter's jug-band christmas","Drama",2,4.52,1977,"Nominated for 4 Primetime Emmys. Another 1 win.","awards"
"5","emmet otter's jug-band christmas","Family",2,4.52,1977,"Nominated for 4 Primetime Emmys. Another 1 win.","awards"
"6","dark city","Drama",3,4.43003413,1998,"9 wins & 14 nominations.","awards"
"7","dark city","Fantasy",3,4.43003413,1998,"9 wins & 14 nominations.","awards"
"8","dark city","Sci-Fi",3,4.43003413,1998,"9 wins & 14 nominations.","awards"
"9","national lampoon's christmas vacation","Comedy",4,4.507653061,1989,"N/A","awards"
"10","forbidden planet","Action",5,4.608017817,1956,"Nominated for 1 Oscar. Another 1 win & 1 nomination.","awards"
"11","forbidden planet","Adventure",5,4.608017817,1956,"Nominated for 1 Oscar. Another 1 win & 1 nomination.","awards"
"12","forbidden planet","Family",5,4.608017817,1956,"Nominated for 1 Oscar. Another 1 win & 1 nomination.","awards"
"13","braveheart","Biography",6,4.618110236,1995,"Won 5 Oscars. Another 26 wins & 28 nominations.","awards"
"14","braveheart","Drama",6,4.618110236,1995,"Won 5 Oscars. Another 26 wins & 28 nominations.","awards"
"15","braveheart","History",6,4.618110236,1995,"Won 5 Oscars. Another 26 wins & 28 nominations.","awards"
"16","ben-hur","Adventure",7,4.812182741,1959,"Won 11 Oscars. Another 16 wins & 13 nominations.","awards"
"17","ben-hur","Drama",7,4.812182741,1959,"Won 11 Oscars. Another 16 wins & 13 nominations.","awards"
"18","ben-hur","War",7,4.812182741,1959,"Won 11 Oscars. Another 16 wins & 13 nominations.","awards"
"19","bram stoker's dracula","Fantasy",8,3.916167665,1992,"Won 3 Oscars. Another 12 wins & 15 nominations.","awards"
"20","bram stoker's dracula","Horror",8,3.916167665,1992,"Won 3 Oscars. Another 12 wins & 15 nominations.","awards"
"21","bram stoker's dracula","Romance",8,3.916167665,1992,"Won 3 Oscars. Another 12 wins & 15 nominations.","awards"
"22","monty python and the holy grail","Adventure",9,4.659025788,1975,"2 wins & 2 nominations.","awards"
"23","monty python and the holy grail","Comedy",9,4.659025788,1975,"2 wins & 2 nominations.","awards"
"24","monty python and the holy grail","Fantasy",9,4.659025788,1975,"2 wins & 2 nominations.","awards"
"25","grave of the fireflies","Animation",10,4.71810089,1988,"3 wins.","awards"
"26","grave of the fireflies","Drama",10,4.71810089,1988,"3 wins.","awards"
"27","grave of the fireflies","War",10,4.71810089,1988,"3 wins.","awards"
"28","lonesome dove","Adventure",11,4.611801242,1989,"Won 2 Golden Globes. Another 16 wins & 17 nominations.","awards"
"29","lonesome dove","Drama",11,4.611801242,1989,"Won 2 Golden Globes. Another 16 wins & 17 nominations.","awards"
"30","lonesome dove","Western",11,4.611801242,1989,"Won 2 Golden Globes. Another 16 wins & 17 nominations.","awards"
"31","snow white and the seven dwarfs","Animation",12,4.564356436,1937,"Nominated for 1 Oscar. Another 11 wins & 4 nominations.","awards"
"32","snow white and the seven dwarfs","Family",12,4.564356436,1937,"Nominated for 1 Oscar. Another 11 wins & 4 nominations.","awards"
"33","snow white and the seven dwarfs","Fantasy",12,4.564356436,1937,"Nominated for 1 Oscar. Another 11 wins & 4 nominations.","awards"
"34","the band wagon","Comedy",13,4.680115274,1953,"Nominated for 3 Oscars. Another 2 wins & 1 nomination.","awards"
"35","the band wagon","Musical",13,4.680115274,1953,"Nominated for 3 Oscars. Another 2 wins & 1 nomination.","awards"
"36","the band wagon","Romance",13,4.680115274,1953,"Nominated for 3 Oscars. Another 2 wins & 1 nomination.","awards"
"37","reservoir dogs","Crime",15,4.464174455,1992,"9 wins & 15 nominations.","awards"
"38","reservoir dogs","Thriller",15,4.464174455,1992,"9 wins & 15 nominations.","awards"
"39","pinocchio","Animation",16,4.56097561,1940,"Won 2 Oscars. Another 3 wins.","awards"
"40","pinocchio","Family",16,4.56097561,1940,"Won 2 Oscars. Another 3 wins.","awards"
"41","pinocchio","Fantasy",16,4.56097561,1940,"Won 2 Oscars. Another 3 wins.","awards"
"42","terminator","Action",18,4.305555556,1991,"Won 4 Oscars. Another 20 wins & 22 nominations.","awards"
"43","terminator","Sci-Fi",18,4.305555556,1991,"Won 4 Oscars. Another 20 wins & 22 nominations.","awards"
"44","it's a wonderful life","Drama",19,4.752669039,1946,"Nominated for 5 Oscars. Another 6 wins & 1 nomination.","awards"
"45","it's a wonderful life","Family",19,4.752669039,1946,"Nominated for 5 Oscars. Another 6 wins & 1 nomination.","awards"
"46","it's a wonderful life","Fantasy",19,4.752669039,1946,"Nominated for 5 Oscars. Another 6 wins & 1 nomination.","awards"
"47","baraka","Documentary",20,4.660660661,1992,"1 win & 1 nomination.","awards"
"48","white christmas","Comedy",21,4.75257732,1954,"N/A","awards"
"49","white christmas","Musical",21,4.75257732,1954,"N/A","awards"
"50","white christmas","Romance",21,4.75257732,1954,"N/A","awards"
"51","apollo 13","Adventure",23,4.443298969,1995,"Won 2 Oscars. Another 24 wins & 48 nominations.","awards"
"52","apollo 13","Drama",23,4.443298969,1995,"Won 2 Oscars. Another 24 wins & 48 nominations.","awards"
"53","apollo 13","History",23,4.443298969,1995,"Won 2 Oscars. Another 24 wins & 48 nominations.","awards"
"54","seven","Drama",24,4.559006211,2008,"5 wins & 6 nominations.","awards"
"55","seven","Romance",24,4.559006211,2008,"5 wins & 6 nominations.","awards"
"56","pulp fiction","Crime",25,4.606315789,1994,"Won 1 Oscar. Another 54 wins & 60 nominations.","awards"
"57","pulp fiction","Drama",25,4.606315789,1994,"Won 1 Oscar. Another 54 wins & 60 nominations.","awards"
"58","toy story","Animation",26,4.65625,1995,"Nominated for 3 Oscars. Another 23 wins & 18 nominations.","awards"
"59","toy story","Adventure",26,4.65625,1995,"Nominated for 3 Oscars. Another 23 wins & 18 nominations.","awards"
"60","toy story","Comedy",26,4.65625,1995,"Nominated for 3 Oscars. Another 23 wins & 18 nominations.","awards"
"61","alien 3","Documentary",27,4.362745098,1992,"N/A","awards"
"62","independence day","Action",28,3.806153846,1996,"Won 1 Oscar. Another 31 wins & 32 nominations.","awards"
"63","independence day","Adventure",28,3.806153846,1996,"Won 1 Oscar. Another 31 wins & 32 nominations.","awards"
"64","independence day","Sci-Fi",28,3.806153846,1996,"Won 1 Oscar. Another 31 wins & 32 nominations.","awards"
"65","ten commandments","Adventure",29,4.552693208,1956,"Won 1 Oscar. Another 5 wins & 8 nominations.","awards"
"66","ten commandments","Biography",29,4.552693208,1956,"Won 1 Oscar. Another 5 wins & 8 nominations.","awards"
"67","ten commandments","Drama",29,4.552693208,1956,"Won 1 Oscar. Another 5 wins & 8 nominations.","awards"
"68","predator","Action",31,4.198083067,1987,"Nominated for 1 Oscar. Another 3 wins & 4 nominations.","awards"
"69","predator","Horror",31,4.198083067,1987,"Nominated for 1 Oscar. Another 3 wins & 4 nominations.","awards"
"70","predator","Sci-Fi",31,4.198083067,1987,"Nominated for 1 Oscar. Another 3 wins & 4 nominations.","awards"
"71","being john malkovich","Comedy",32,4.154676259,1999,"Nominated for 3 Oscars. Another 48 wins & 74 nominations.","awards"
"72","being john malkovich","Drama",32,4.154676259,1999,"Nominated for 3 Oscars. Another 48 wins & 74 nominations.","awards"
"73","being john malkovich","Fantasy",32,4.154676259,1999,"Nominated for 3 Oscars. Another 48 wins & 74 nominations.","awards"
"74","the princess and the frog","Animation",33,4.119241192,2009,"Nominated for 3 Oscars. Another 12 wins & 36 nominations.","awards"
"75","the princess and the frog","Family",33,4.119241192,2009,"Nominated for 3 Oscars. Another 12 wins & 36 nominations.","awards"
"76","the princess and the frog","Fantasy",33,4.119241192,2009,"Nominated for 3 Oscars. Another 12 wins & 36 nominations.","awards"
"77","aliens","Action",34,4.710526316,1986,"Won 2 Oscars. Another 17 wins & 22 nominations.","awards"
"78","aliens","Horror",34,4.710526316,1986,"Won 2 Oscars. Another 17 wins & 22 nominations.","awards"
"79","aliens","Sci-Fi",34,4.710526316,1986,"Won 2 Oscars. Another 17 wins & 22 nominations.","awards"
"80","to kill a mockingbird","Crime",35,4.772357724,1962,"Won 3 Oscars. Another 10 wins & 16 nominations.","awards"
"81","to kill a mockingbird","Drama",35,4.772357724,1962,"Won 3 Oscars. Another 10 wins & 16 nominations.","awards"
"82","stargate","Action",36,4.007220217,1994,"6 wins & 5 nominations.","awards"
"83","stargate","Adventure",36,4.007220217,1994,"6 wins & 5 nominations.","awards"
"84","stargate","Sci-Fi",36,4.007220217,1994,"6 wins & 5 nominations.","awards"
"85","the fifth element","Action",37,4.568134172,1997,"Nominated for 1 Oscar. Another 9 wins & 32 nominations.","awards"
"86","the fifth element","Adventure",37,4.568134172,1997,"Nominated for 1 Oscar. Another 9 wins & 32 nominations.","awards"
"87","the fifth element","Sci-Fi",37,4.568134172,1997,"Nominated for 1 Oscar. Another 9 wins & 32 nominations.","awards"
"88","patton","Biography",38,4.645051195,1970,"Won 7 Oscars. Another 17 wins & 8 nominations.","awards"
"89","patton","Drama",38,4.645051195,1970,"Won 7 Oscars. Another 17 wins & 8 nominations.","awards"
"90","patton","War",38,4.645051195,1970,"Won 7 Oscars. Another 17 wins & 8 nominations.","awards"
"91","a christmas carol","Animation",39,4.697445972,2009,"3 wins & 4 nominations.","awards"
"92","a christmas carol","Drama",39,4.697445972,2009,"3 wins & 4 nominations.","awards"
"93","a christmas carol","Family",39,4.697445972,2009,"3 wins & 4 nominations.","awards"
"94","the sound of music","Biography",41,4.810559006,1965,"Won 5 Oscars. Another 12 wins & 13 nominations.","awards"
"95","the sound of music","Drama",41,4.810559006,1965,"Won 5 Oscars. Another 12 wins & 13 nominations.","awards"
"96","the sound of music","Family",41,4.810559006,1965,"Won 5 Oscars. Another 12 wins & 13 nominations.","awards"
"97","willy wonka & the chocolate factory","Family",44,4.629333333,1971,"Nominated for 1 Oscar. Another 1 win & 1 nomination.","awards"
"98","willy wonka & the chocolate factory","Fantasy",44,4.629333333,1971,"Nominated for 1 Oscar. Another 1 win & 1 nomination.","awards"
"99","willy wonka & the chocolate factory","Musical",44,4.629333333,1971,"Nominated for 1 Oscar. Another 1 win & 1 nomination.","awards"
"100","the usual suspects","Crime",45,4.68641115,1995,"Won 2 Oscars. Another 32 wins & 16 nominations.","awards"
"101","the usual suspects","Drama",45,4.68641115,1995,"Won 2 Oscars. Another 32 wins & 16 nominations.","awards"
